vote_threshold,ransac_threshold,f1_score,precision_pct,recall_pct,accuracy_pct,tp,tn,fp,fn
1,1,73.58,82.73,66.25,60.7,30210,3294,6306,15390
1,2,73.58,82.73,66.25,60.69,30209,3294,6306,15391
1,3,73.58,82.73,66.25,60.69,30209,3294,6306,15391
1,4,73.57,82.73,66.24,60.69,30207,3294,6306,15393
2,1,73.52,82.71,66.17,60.63,30175,3294,6306,15425
2,2,73.52,82.71,66.17,60.63,30174,3294,6306,15426
2,3,73.52,82.71,66.17,60.63,30174,3294,6306,15426
2,4,73.52,82.71,66.17,60.63,30172,3294,6306,15428
1,6,72.66,82.49,64.92,59.64,29604,3318,6282,15996
2,6,72.61,82.48,64.85,59.58,29570,3318,6282,16030
3,1,70.95,82.03,62.5,57.72,28502,3358,6242,17098
3,2,70.95,82.03,62.5,57.72,28501,3358,6242,17099
3,3,70.95,82.03,62.5,57.72,28501,3358,6242,17099
3,4,70.95,82.03,62.5,57.71,28500,3358,6242,17100
3,6,70.16,81.83,61.4,56.85,28000,3382,6218,17600
4,1,63.21,81.39,51.68,50.32,23564,4212,5388,22036
4,2,63.21,81.39,51.68,50.32,23564,4212,5388,22036
4,3,63.21,81.39,51.68,50.32,23564,4212,5388,22036
4,4,63.21,81.39,51.67,50.32,23563,4212,5388,22037
4,6,62.62,81.24,50.95,49.76,23231,4236,5364,22369
1,8,60.57,80.81,48.43,47.9,22085,4356,5244,23515
2,8,60.54,80.8,48.4,47.87,22069,4356,5244,23531
3,8,59.18,80.38,46.83,46.63,21353,4387,5213,24247
5,1,54.36,81.18,40.86,43.32,18631,5282,4318,26969
5,2,54.36,81.18,40.86,43.32,18631,5282,4318,26969
5,3,54.36,81.18,40.86,43.32,18631,5282,4318,26969
5,4,54.36,81.18,40.86,43.32,18631,5282,4318,26969
4,8,54.26,80.32,40.97,42.94,18681,5024,4576,26919
5,6,54.0,81.08,40.48,43.03,18459,5294,4306,27141
5,8,48.41,80.37,34.64,39.01,15795,5741,3859,29805
6,1,48.21,80.91,34.33,39.06,15655,5907,3693,29945
6,2,48.21,80.91,34.33,39.06,15655,5907,3693,29945
6,3,48.21,80.91,34.33,39.06,15655,5907,3693,29945
6,4,48.21,80.91,34.33,39.06,15655,5907,3693,29945
6,6,48.0,80.85,34.13,38.91,15562,5914,3686,30038
1,10,44.82,79.06,31.28,36.39,14262,5823,3777,31338
2,10,44.81,79.06,31.27,36.38,14258,5823,3777,31342
6,8,44.59,80.1,30.89,36.57,14088,6099,3501,31512
3,10,44.42,78.91,30.91,36.1,14095,5832,3768,31505
4,10,42.64,78.8,29.23,35.04,13328,6015,3585,32272
5,10,40.53,78.78,27.29,33.86,12442,6249,3351,33158
6,10,39.23,78.62,26.13,33.11,11916,6359,3241,33684
