vote_threshold,ransac_threshold,caught,recall_pct
1,1,31800,66.25
1,2,31800,66.25
1,3,31799,66.25
1,4,31799,66.25
1,5,31797,66.24
1,6,31747,66.14
1,8,28575,59.53
1,10,18520,38.58
1,12,13270,27.65
1,15,11683,24.34
2,1,31800,66.25
2,2,31800,66.25
2,3,31799,66.25
2,4,31799,66.25
2,5,31797,66.24
2,6,31747,66.14
2,8,28575,59.53
2,10,18520,38.58
2,12,13270,27.65
2,15,11683,24.34
3,1,31765,66.18
3,2,31765,66.18
3,3,31764,66.17
3,4,31764,66.17
3,5,31762,66.17
3,6,31712,66.07
3,8,28549,59.48
3,10,18511,38.56
3,12,13268,27.64
3,15,11683,24.34
4,1,30075,62.66
4,2,30075,62.66
4,3,30074,62.65
4,4,30074,62.65
4,5,30073,62.65
4,6,30033,62.57
4,8,27329,56.94
4,10,18165,37.84
4,12,13186,27.47
4,15,11674,24.32
5,1,24917,51.91
5,2,24917,51.91
5,3,24917,51.91
5,4,24917,51.91
5,5,24916,51.91
5,6,24894,51.86
5,8,23114,48.15
5,10,16519,34.41
5,12,12816,26.7
5,15,11639,24.25
6,1,19713,41.07
6,2,19713,41.07
6,3,19713,41.07
6,4,19713,41.07
6,5,19713,41.07
6,6,19702,41.05
6,8,18699,38.96
6,10,14751,30.73
6,12,12348,25.72
6,15,11579,24.12
